"country_name","year","isis_fighters","isis_attacks","n_cells","mean_nightlights","mean_gcp_ppp","total_population","mean_unemployment","mean_polity","mean_gov_effect","any_sunni_excluded"
"Tanzania/Tanganyika",2014,2,0,316,0.0597825949967208,0.448273783370456,39448954.44802,2.96000003814697,-1,-0.597118556499481,0
"Trinidad and Tobago",2014,1,0,7,0.146174472780498,2.90286368291137,1414116.58404234,2.84999990463257,10,0.247864335775375,0
"Tunisia",2013,316,3,66,0.0948214298583799,0.934192984243554,9644142.70528802,13.2620000839233,6,-0.902563273906708,0
"Tunisia",2014,208,0,62,0.0944839166111566,0.89674130561405,8753561.97454735,NA,7,-0.851661503314972,0
"Turkey (Ottoman Empire)",2013,29,9,348,0.0916754479956952,1.88622718188917,68279879.3624657,7.92999982833862,9,-1.24993252754211,0
"Turkey (Ottoman Empire)",2014,189,38,365,0.0961353448559203,1.90914469774691,71971190.5202971,9.02999973297119,3,-1.08603596687317,0
"Turkmenistan",2014,1,0,209,0.0692172313433436,0.317350155799048,8982455.89826453,NA,-8,0.0742060318589211,0
"Ukraine",2014,4,0,317,0.111638828203845,0.956398106871427,54323930.1889515,10.8500003814697,4,-2.02083349227905,0
"United Arab Emirates",2013,1,0,31,0.178797790208344,3.44380035939337,2837965.49697593,NA,-8,0.894792199134827,0
"United Arab Emirates",2014,7,0,33,0.191946394412779,3.54149364177162,2959861.18046571,NA,-8,0.7689089179039,0
"United Kingdom",2013,22,0,215,0.204138544993077,7.67486659506645,60772160.4273102,7.94999980926514,10,0.48620143532753,0
"United Kingdom",2014,21,0,215,0.206424683535533,7.76146718012693,61291797.576736,6.3600001335144,10,0.415347635746002,0
"United States of America",2013,2,0,4858,0.120510508563665,2.36533670340757,347499229.524786,7.6399998664856,10,0.643072605133057,0
"United States of America",2014,5,0,4862,0.123137130276004,2.42476907675106,364478489.235712,6.26000022888184,10,0.582419633865356,0
"Uzbekistan",2014,59,0,191,0.0889957140732506,0.476654152692751,26321912.9316925,NA,-9,-0.273108631372452,0
"Yemen (Arab Republic of Yemen)",2013,13,0,177,0.0663213366844169,0.532540169232113,22003346.9854048,NA,3,-2.37482810020447,0
"Yemen (Arab Republic of Yemen)",2014,7,0,174,0.0677743076739312,0.549442616143898,20615349.1989707,NA,0,-2.66557502746582,0
