"","county_name","state","dem_votes","rep_votes","county_total_votes","rep_share"
"2615","ST. FRANCOIS","MISSOURI",7052,14051,21103,0.665829502914278
"2616","ST. HELENA","LOUISIANA",2089,2007,4096,0.489990234375
"2617","ST. JAMES","LOUISIANA",5543,0,5543,0
"2618","ST. JOHN THE BAPTIST","LOUISIANA",9029,2349,11378,0.20645104587801
"2619","ST. JOSEPH","MICHIGAN",7206,11908,19114,0.622998849011196
"2620","ST. LANDRY","LOUISIANA",10890,15200,26090,0.582598696818704
"2621","ST. LOUIS","MINNESOTA",57108,38496,95604,0.402660976528179
"2622","ST. LOUIS CITY","MISSOURI",92718,16391,109109,0.150225920868123
"2623","ST. LOUIS COUNTY","MISSOURI",270673,174661,445334,0.39220225718225
"2624","ST. MARTIN","LOUISIANA",5629,12968,18597,0.697316771522289
"2625","ST. MARY","LOUISIANA",5763,11330,17093,0.662844439244135
"2626","ST. MARY'S","MARYLAND",18859,20109,38968,0.516038801067543
"2627","ST. TAMMANY","LOUISIANA",22665,70352,93017,0.756334863519572
"2628","STAFFORD","KANSAS",310,1307,1617,0.808286951144094
"2629","STAFFORD","VIRGINIA",26763,29214,55977,0.521892920306554
"2630","STANISLAUS","CALIFORNIA",81392,75346,156738,0.480713037042708
"2631","STANLEY","SOUTH DAKOTA",377,1042,1419,0.734319943622269
"2632","STANLY","NORTH CAROLINA",5990,16414,22404,0.732637029101946
"2633","STANTON","KANSAS",101,485,586,0.827645051194539
"2634","STANTON","NEBRASKA",388,1854,2242,0.826940231935772
"2635","STARK","ILLINOIS",559,1497,2056,0.728112840466926
"2636","STARK","NORTH DAKOTA",1946,9774,11720,0.833959044368601
"2637","STARK","OHIO",63801,74986,138787,0.54029556082342
"2638","STARKE","INDIANA",3222,4306,7528,0.571997874601488
"2639","STARR","TEXAS",9121,0,9121,0
"2640","STAUNTON CITY","VIRGINIA",5422,4182,9604,0.435443565181174
"2641","STE. GENEVIEVE","MISSOURI",2880,4252,7132,0.596186203028603
"2642","STEARNS","MINNESOTA",27213,38353,65566,0.584952566879175
"2643","STEELE","MINNESOTA",7128,9075,16203,0.560081466395112
"2644","STEELE","NORTH DAKOTA",465,461,926,0.497840172786177
"2645","STEPHENS","GEORGIA",1705,7243,8948,0.809454626732231
"2646","STEPHENS","OKLAHOMA",2783,10541,13324,0.791128790153107
"2647","STEPHENS","TEXAS",289,2643,2932,0.901432469304229
"2648","STEPHENSON","ILLINOIS",8658,7696,16354,0.470588235294118
"2649","STERLING","TEXAS",30,454,484,0.93801652892562
"2650","STEUBEN","INDIANA",3710,8474,12184,0.695502298095863
"2651","STEUBEN","NEW YORK",11453,19850,31303,0.634124524805929
"2652","STEVENS","KANSAS",168,1326,1494,0.887550200803213
"2653","STEVENS","MINNESOTA",2487,1885,4372,0.431152790484904
"2654","STEVENS","WASHINGTON",6961,15586,22547,0.691267130882157
"2655","STEWART","GEORGIA",1116,641,1757,0.36482640865111
"2656","STEWART","TENNESSEE",1017,3071,4088,0.751223091976517
"2657","STILLWATER","MONTANA",1350,3373,4723,0.714164725809867
"2658","STODDARD","MISSOURI",1683,8981,10664,0.842179294823706
"2659","STOKES","NORTH CAROLINA",4065,13094,17159,0.763098082638848
"2660","STONE","ARKANSAS",954,3346,4300,0.778139534883721
"2661","STONE","MISSISSIPPI",1272,4067,5339,0.761753137291628
